provider_id,name,api,models,models_with_price,models_paid,models_zero,min_input,min_output,npm,is_plan
the-grid-ai,The Grid AI,https://api.thegrid.ai/v1,9,0,0,0,,,@ai-sdk/openai-compatible,0
thinkingmachines,Thinking Machines,https://tinker.thinkingmachines.dev/services/tinker-prod/anthropic/api/v1,2,2,2,0,1.87,4.68,@ai-sdk/anthropic,0
tinfoil,Tinfoil,https://inference.tinfoil.sh/v1,9,9,9,0,0.05,0.6,@ai-sdk/openai-compatible,0
togetherai,Together AI,,39,39,39,0,0.03,0.12,@ai-sdk/togetherai,0
tokengo,TokenGo,https://api.tokengo.com/v1,13,13,13,0,0.075,0.025,@ai-sdk/openai-compatible,0
tokenrouter,TokenRouter,https://api.tokenrouter.com/v1,1,1,0,1,,,@ai-sdk/openai-compatible,0
trustedrouter,TrustedRouter,https://api.trustedrouter.com/v1,7,0,0,0,,,@ai-sdk/openai-compatible,0
umans-ai,Umans AI,https://api.code.umans.ai/v1,6,6,6,0,0.14,0.28,@ai-sdk/openai-compatible,0
umans-ai-coding-plan,Umans AI Coding Plan,https://api.code.umans.ai/v1,7,7,0,7,,,@ai-sdk/openai-compatible,1
unorouter,UnoRouter,https://api.unorouter.com/v1,23,23,12,11,0.0625,0.125,@ai-sdk/openai-compatible,0
upstage,Upstage,https://api.upstage.ai/v1/solar,4,4,4,0,0.15,0.15,@ai-sdk/openai-compatible,0
v0,v0,,3,3,3,0,3,15,@ai-sdk/vercel,0
vancine,Vancine,https://vancine.com/v1,8,8,8,0,0.12,0.38,@ai-sdk/openai-compatible,0
venice,Venice AI,,105,105,105,0,0.04999999999999999,0.15,venice-ai-sdk-provider,0
vercel,Vercel AI Gateway,,375,265,255,10,0.021,0.04,@ai-sdk/gateway,0
vispark,Vispark,https://api.lab.vispark.in/v1,3,3,3,0,1.05,3.16,@ai-sdk/openai-compatible,0
vivgrid,Vivgrid,https://api.vivgrid.com/v1,30,30,30,0,0.042,0.3,@ai-sdk/openai,0
volcengine,Volcengine Ark,https://ark.cn-beijing.volces.com/api/v3,16,16,16,0,0.02227,0.22265,@ai-sdk/openai-compatible,0
volcengine-coding-plan,Volcengine Ark Coding Plan,https://ark.cn-beijing.volces.com/api/coding/v3,10,10,0,10,,,@ai-sdk/openai-compatible,1
vultr,Vultr,https://api.vultrinference.com/v1,10,10,10,0,0.13,0.38,@ai-sdk/openai-compatible,0
wafer.ai,Wafer,https://pass.wafer.ai/v1,5,5,5,0,0.33,1.32,@ai-sdk/openai-compatible,0
wallaby,Wallaby,https://api.wallabytoken.com/v1,1,1,1,0,2.7,13.5,@ai-sdk/openai-compatible,0
wandb,CoreWeave,https://api.inference.wandb.ai/v1,27,27,27,0,0.03,0.1,@ai-sdk/openai-compatible,0
watsonx,watsonx.ai,,5,5,5,0,0.0636,0.265,watsonx-ai-provider,0
xai,xAI,,10,7,7,0,1,2,@ai-sdk/xai,0
xiaomi,Xiaomi,https://api.xiaomimimo.com/v1,6,6,6,0,0.14,0.28,@ai-sdk/openai-compatible,0
xiaomi-token-plan-ams,Xiaomi Token Plan (Europe),https://token-plan-ams.xiaomimimo.com/v1,7,7,0,7,,,@ai-sdk/openai-compatible,1
xiaomi-token-plan-cn,Xiaomi Token Plan (China),https://token-plan-cn.xiaomimimo.com/v1,7,7,0,7,,,@ai-sdk/openai-compatible,1
xiaomi-token-plan-sgp,Xiaomi Token Plan (Singapore),https://token-plan-sgp.xiaomimimo.com/v1,7,7,0,7,,,@ai-sdk/openai-compatible,1
xpersona,Xpersona,https://www.xpersona.co/v1,13,13,13,0,0.375,2,@ai-sdk/openai-compatible,0
zai,Z.AI,https://api.z.ai/api/paas/v4,17,17,15,2,0.07,0.4,@ai-sdk/openai-compatible,0
zai-coding-plan,Z.AI Coding Plan,https://api.z.ai/api/coding/paas/v4,7,7,0,7,,,@ai-sdk/openai-compatible,1
zeldoc,Zeldoc,https://api.zeldoc.ai/v1,1,1,0,1,,,@ai-sdk/openai-compatible,0
zenifra,Zenifra,https://ai.zenifra.com/v1,1,1,1,0,0.19,0.48,@ai-sdk/openai-compatible,0
zenmux,ZenMux,https://zenmux.ai/api/v1,122,118,112,6,0.0218,0.2184,@ai-sdk/openai-compatible,0
zhipuai,Zhipu AI,https://open.bigmodel.cn/api/paas/v4,16,16,14,2,0.07,0.4,@ai-sdk/openai-compatible,0
zhipuai-coding-plan,Zhipu AI Coding Plan,https://open.bigmodel.cn/api/coding/paas/v4,4,4,1,3,0.3,0.9,@ai-sdk/openai-compatible,1
